State	District	Population	Winner	PVI	Vote gap	Wasted votes	FV Safe D	FV Lean D	FV Tossup	FV Lean R	FV Safe R	Pop per seats	Compactness	Area	Paired edge length	Unpaired edge length	PRES08_DEM vote %	PRES08_REP vote %	PRES08_DEM votes	PRES08_REP votes	VAP_WHITE %	VAP_BLACK %	VAP_HISPAN %	VAP_ASIAN %	VAP_HAWAII %	VAP_INDIAN %	VAP_MULTI %	VAP_OTHER %	VAP_WHITE pop	VAP_BLACK pop	VAP_HISPAN pop	VAP_ASIAN pop	VAP_HAWAII pop	VAP_INDIAN pop	VAP_MULTI pop	VAP_OTHER pop
Alabama	1	531,538	0,1,	R+16	77199	119053	0.0	0.0	0.0	0.0	1.0	531,538	0.2099223176895637	5.315531392013391E11	5640907.3851381065	0.0	0.337888746561391	0.662111253438609	80,453	157,652	0.719370293	0.201931262	0.047105728	0.020543380	0.000272114	0.002541398	0.007471909	0.000763917	288,156	80,887	18,869	8,229	109	1,018	2,993	306
Alabama	2	531,316	0,1,	R+16	71389	114628	0.0	0.0	0.0	0.0	1.0	531,316	0.2934372316614574	6.663586692965264E11	4976090.596697215	487837.6463399358	0.3443021962443567	0.6556978037556432	78,933	150,322	0.744717109	0.212076587	0.024054670	0.007405036	0.000371852	0.003102875	0.007863079	0.000408791	302,411	86,119	9,768	3,007	151	1,260	3,193	166
Alabama	3	531,122	0,1,	R+9	44425	116957	0.0	0.0	0.0	0.0	1.0	531,122	0.655857844826794	5.126866188589835E11	1232093.6275920714	2536135.654137024	0.4050394804906098	0.5949605195093902	94,744	139,169	0.679238004	0.261760585	0.028164177	0.015958704	0.000425599	0.004706474	0.008935083	0.000811375	272,909	105,172	11,316	6,412	171	1,891	3,590	326
Alabama	4	530,552	0,1,	R+8	36140	113790	0.0	0.0	0.0	1.0	0.0	530,552	0.48771072183296016	2.0416067085114836E12	5221154.215370563	2708952.802533633	0.4205993496792337	0.5794006503207664	95,720	131,860	0.606339286	0.338514385	0.028244048	0.012304067	0.000468750	0.004727183	0.008958333	0.000443948	244,476	136,489	11,388	4,961	189	1,906	3,612	179
Alabama	5	530,856	0,1,	R+7	34857	117600	0.0	0.0	0.0	1.0	0.0	530,856	0.4483685165894201	1.4561520937077378E12	4620566.800370071	2357084.368557747	0.42589891963826376	0.5741010803617362	100,171	135,028	0.737286668	0.221728306	0.021921429	0.003072414	0.000187759	0.006544729	0.009019729	0.000238966	302,362	90,931	8,990	1,260	77	2,684	3,699	98
Alabama	6	530,443	0,1,	R+12	57498	115664	0.0	0.0	0.0	0.0	1.0	530,443	0.5277064562765338	4.032762758345068E11	2631787.0432335804	622841.0903995866	0.37572191866094895	0.624278081339051	86,915	144,413	0.724676495	0.190031484	0.045357564	0.018246983	0.000665822	0.006752275	0.013546627	0.000722751	292,778	76,775	18,325	7,372	269	2,728	5,473	292
Alabama	7	530,640	0,1,	R+7	32312	116587	0.0	0.0	0.0	1.0	0.0	530,640	0.3625518960049441	3.140628997155877E12	7648562.632777161	3713190.223827502	0.4307126866631786	0.5692873133368215	100,431	132,743	0.628647826	0.329863707	0.017815434	0.006112490	0.000230383	0.010528973	0.006453162	0.000348025	256,499	134,590	7,269	2,494	94	4,296	2,633	142
Alabama	8	531,029	0,1,	R+7	27399	103600	0.0	0.0	0.0	1.0	0.0	531,029	0.47068874597425403	1.2304960589406118E12	4316194.529015274	1887247.138037518	0.4338824029073499	0.5661175970926501	89,900	117,299	0.638727363	0.309649685	0.027145393	0.012260787	0.000501289	0.002868349	0.008362962	0.000484172	261,205	126,630	11,101	5,014	205	1,173	3,420	198
Alabama	9	532,240	0,1,	R+14	54524	99025	0.0	0.0	0.0	0.0	1.0	532,240	0.2804534382325263	1.0318931067733151E12	5474215.010143627	1767358.226210854	0.36234789194647815	0.6376521080535218	71,763	126,287	0.766155344	0.159885014	0.052672948	0.003658187	0.000368290	0.006411714	0.010522231	0.000326271	309,965	64,685	21,310	1,480	149	2,594	4,257	132
Alaska	1	667,047	0,1,	R+1	2872	138486	0.0	0.0	1.0	0.0	0.0	667,047	0.2264219287995333	1.5083765280721478E14	0.0	1.2199423518190756E8	0.4948153603974409	0.5051846396025591	137,050	139,922	0.682767432	0.030848059	0.046737802	0.053328565	0.008598975	0.132700778	0.043645155	0.001373235	356,987	16,129	24,437	27,883	4,496	69,383	22,820	718
Arizona	1	492,426	0,1,	R+4	13143	86396	0.0	0.0	1.0	0.0	0.0	492,426	0.3308705260717809	5.505975685554418E12	1.134310781182665E7	4156954.7048538164	0.4619685053040957	0.5380314946959043	79,824	92,967	0.696854338	0.010130234	0.077996394	0.017893542	0.000731984	0.185461831	0.010119549	0.000812128	260,850	3,792	29,196	6,698	274	69,423	3,788	304
Arizona	2	490,834	0,1,	R+11	31669	70721	0.0	0.0	0.0	0.0	1.0	490,834	0.35365278368503295	4.047252373925474E12	6689802.130926827	7069778.113411424	0.38804872703105886	0.6119512729689411	54,886	86,555	0.641486070	0.017962093	0.301200159	0.011714175	0.001318886	0.014445961	0.011077564	0.000795092	238,815	6,687	112,132	4,361	491	5,378	4,124	296
Arizona	3	491,031	0,1,	R+5	18554	86649	0.0	0.0	0.0	1.0	0.0	491,031	0.4774280855281089	4.198006532861765E10	1051168.9047517767	0.0	0.44646793384805367	0.5535320661519464	77,372	95,926	0.764435778	0.026473456	0.148050593	0.034889085	0.001171531	0.011277624	0.012553990	0.001147943	291,672	10,101	56,489	13,312	447	4,303	4,790	438
Arizona	4	490,701	0,1,	R+5	18556	86455	0.0	0.0	0.0	1.0	0.0	490,701	0.41106965544507806	9.056849724835587E11	5261817.771451263	0.0	0.4463420276444393	0.5536579723555607	77,177	95,733	0.559932226	0.065196090	0.282834263	0.052930266	0.001580617	0.023067681	0.012913235	0.001545622	192,003	22,356	96,985	18,150	542	7,910	4,428	530
Arizona	5	492,950	1,0,	D+1	3050	89296	0.0	0.0	1.0	0.0	0.0	492,950	0.4696316543545229	1.8716071184754097E12	5772039.391047789	1739608.5335853882	0.5085390163053216	0.4914609836946784	90,821	87,771	0.643217647	0.026240399	0.262119119	0.020548350	0.001072298	0.033880859	0.011695844	0.001225484	239,340	9,764	97,534	7,646	399	12,607	4,352	456
Arizona	6	492,101	0,1,	R+5	18603	86864	0.0	0.0	0.0	1.0	0.0	492,101	0.43890101043594265	2.3367302082735825E10	817948.4394482885	0.0	0.44645909962182045	0.5535409003781796	77,562	96,165	0.365891832	0.085188873	0.481862350	0.025843076	0.001630929	0.024990415	0.013121828	0.001470698	127,877	29,773	168,408	9,032	570	8,734	4,586	514
Arizona	7	490,606	0,1,	R+5	21751	101241	0.0	0.0	0.0	1.0	0.0	490,606	0.45655390127777584	7.485149882175302E12	1.117329193583494E7	4240336.4596861545	0.4462887875899467	0.5537112124100533	90,365	112,116	0.781934672	0.009472898	0.099941040	0.012824443	0.000990527	0.081259909	0.012530954	0.001045556	298,398	3,615	38,139	4,894	378	31,010	4,782	399
Arizona	8	492,425	0,1,	R+5	18613	86900	0.0	0.0	0.0	1.0	0.0	492,425	0.4785471250411981	2.0909570246968613E10	740994.7478403264	0.0	0.44645251123424184	0.5535474887657581	77,593	96,206	0.630413669	0.042973169	0.241507289	0.040190292	0.003567312	0.024122713	0.015803432	0.001422122	236,274	16,106	90,515	15,063	1,337	9,041	5,923	533
Arizona	9	491,787	1,0,	D+3	11959	97383	0.0	0.0	1.0	0.0	0.0	491,787	0.38792247434658467	4.47271869822259E10	1203699.9816534477	0.0	0.5307011013272405	0.4692988986727595	103,362	91,403	0.624759213	0.039026176	0.270158410	0.033832657	0.001650374	0.013009585	0.016129823	0.001433762	242,276	15,134	104,765	13,120	640	5,045	6,255	556
Arizona	10	491,863	0,1,	R+6	18844	83020	0.0	0.0	0.0	1.0	0.0	491,863	0.43249101080000085	9.909338534912018E10	1696831.517019423	0.0	0.44325463743676224	0.5567453625632378	73,598	92,442	0.763667004	0.027109314	0.152749691	0.034333221	0.001634648	0.007645208	0.011981800	0.000879115	271,896	9,652	54,385	12,224	582	2,722	4,266	313
Arizona	11	492,881	0,1,	R+4	13536	82960	0.0	0.0	0.0	1.0	0.0	492,881	0.34690349606491383	3.814066858921333E12	8469030.507041704	4380286.202332548	0.4592092574734812	0.5407907425265188	76,192	89,728	0.502692289	0.036486867	0.392977384	0.015780570	0.004195990	0.035187714	0.011490599	0.001188587	181,861	13,200	142,169	5,709	1,518	12,730	4,157	430
