State	District	Population	Winner	PVI	Vote gap	Wasted votes	FV Safe D	FV Lean D	FV Tossup	FV Lean R	FV Safe R	Pop per seats	Compactness	Area	Paired edge length	Unpaired edge length	PRES04_DEM vote %	PRES04_REP vote %	PRES04_DEM votes	PRES04_REP votes	VAP_WHITE %	VAP_BLACK %	VAP_HISPAN %	VAP_ASIAN %	VAP_HAWAII %	VAP_INDIAN %	VAP_MULTI %	VAP_OTHER %	VAP_WHITE pop	VAP_BLACK pop	VAP_HISPAN pop	VAP_ASIAN pop	VAP_HAWAII pop	VAP_INDIAN pop	VAP_MULTI pop	VAP_OTHER pop
Alabama	1	682,423	0,1,	R+15	75956	128587	0.0	0.0	0.0	0.0	1.0	682,423	0.1988850557985969	1.4312154632296553E12	6206271.937260619	4404265.645139767	0.352325662780841	0.647674337219159	90,609	166,565	0.684850024	0.256345601	0.025010272	0.013030383	0.000377945	0.010706505	0.008981525	0.000697745	353,347	132,261	12,904	6,723	195	5,524	4,634	360
Alabama	2	686,078	0,1,	R+18	88416	121638	0.0	0.0	0.0	0.0	1.0	686,078	0.25595069952997035	2.131325224165989E12	8197720.0899809655	2708952.802533633	0.3182804715631628	0.6817195284368371	77,430	165,846	0.665322079	0.278419469	0.030433959	0.011116275	0.000472423	0.004534874	0.009226585	0.000474335	347,855	145,568	15,912	5,812	247	2,371	4,824	248
Alabama	3	680,857	0,1,	R+15	71701	121793	0.0	0.0	0.0	0.0	1.0	680,857	0.26035860666601146	1.6321653579486738E12	6777496.97997806	2797561.136604501	0.3528213970482583	0.6471786029517417	85,942	157,643	0.714585630	0.239259878	0.022508935	0.010978431	0.000468021	0.003257043	0.008496966	0.000445097	374,072	125,248	11,783	5,747	245	1,705	4,448	233
Alabama	4	681,487	0,1,	R+19	96236	127903	0.0	0.0	0.0	0.0	1.0	681,487	0.18729056066568076	1.933765039102598E12	1.0000141307252297E7	1854023.1922540918	0.31189651532802204	0.688103484671978	79,785	176,021	0.868778558	0.065448558	0.043331075	0.004268050	0.000278268	0.007426868	0.010196112	0.000272510	452,704	34,104	22,579	2,224	145	3,870	5,313	142
Alabama	5	683,019	0,1,	R+12	63887	131002	0.0	0.0	0.0	0.0	1.0	683,019	0.33641805745536174	8.32404326838818E11	3723036.2055565515	2470784.140687049	0.3780796403094621	0.6219203596905379	99,058	162,945	0.761213889	0.162726854	0.039206315	0.015427880	0.000594556	0.006935855	0.013277153	0.000617498	398,175	85,119	20,508	8,070	311	3,628	6,945	323
Alabama	6	682,422	0,1,	R+28	166162	146308	0.0	0.0	0.0	0.0	1.0	682,422	0.13057367828788122	9.006935566643185E11	9310342.13682905	0.0	0.21607499248161413	0.7839250075183859	63,227	229,389	0.807664724	0.125258793	0.041055084	0.015294652	0.000270633	0.002725665	0.007096394	0.000634055	417,809	64,797	21,238	7,912	140	1,410	3,671	328
Alabama	7	683,450	1,0,	D+18	95380	136116	1.0	0.0	0.0	0.0	0.0	683,450	0.13779803579141106	2.1530827003303262E12	1.262864509055249E7	1845060.2328247596	0.6751814628699051	0.3248185371300949	183,806	88,426	0.356795773	0.602012049	0.025617615	0.007145504	0.000250217	0.001990274	0.005797007	0.000391561	186,799	315,181	13,412	3,741	131	1,042	3,035	205
Alaska	1	667,047	0,1,	R+12	72662	146980	0.0	0.0	0.0	0.0	1.0	667,047	0.2264219287995333	1.5083765280721478E14	0.0	1.2199423518190756E8	0.3764083548782147	0.6235916451217853	110,649	183,311	0.682767432	0.030848059	0.046737802	0.053328565	0.008598975	0.132700778	0.043645155	0.001373235	356,987	16,129	24,437	27,883	4,496	69,383	22,820	718
Arizona	1	726,896	0,1,	R+0	1858	108079	0.0	0.0	1.0	0.0	0.0	726,896	0.21522814349647143	1.156006093767816E13	2.038046518369939E7	7465752.6767510595	0.4957022178221486	0.5042977821778514	107,150	109,008	0.556352163	0.022975670	0.185341278	0.014719194	0.002710113	0.205024374	0.011879234	0.000997974	299,925	12,386	99,916	7,935	1,461	110,527	6,404	538
Arizona	2	709,536	1,0,	D+1	3963	129294	0.0	0.0	1.0	0.0	0.0	709,536	0.6174616345308943	1.6116449536783096E12	4031564.6383791794	2260711.4049284547	0.5076627982071797	0.4923372017928202	131,275	127,312	0.691948020	0.035285768	0.217386785	0.027997068	0.001826207	0.008810241	0.015421506	0.001324404	386,098	19,689	121,299	15,622	1,019	4,916	8,605	739
Arizona	3	727,659	0,1,	R+1	5923	112549	0.0	0.0	1.0	0.0	0.0	727,659	0.28091917177436776	3.3262209937716924E12	9006486.140953572	4255395.383785834	0.4868434497127905	0.5131565502872095	109,587	115,510	0.356429663	0.037984135	0.543052727	0.019455337	0.001137648	0.030081199	0.010477304	0.001381988	182,343	19,432	277,816	9,953	582	15,389	5,360	707
Arizona	4	685,390	0,1,	R+11	44882	98861	0.0	0.0	0.0	0.0	1.0	685,390	0.11817096312340557	7.002096122115845E12	2.158366089892568E7	7605104.548403979	0.3865022607499418	0.6134977392500581	76,420	121,302	0.811020974	0.012914353	0.138322975	0.010966115	0.001305714	0.012692663	0.011959961	0.000817245	431,687	6,874	73,626	5,837	695	6,756	6,366	435
Arizona	5	708,421	0,1,	R+7	32402	109798	0.0	0.0	0.0	1.0	0.0	708,421	0.5011677877239289	6.100430044311897E10	1236783.21634833	0.0	0.4262236106304304	0.5737763893695695	93,597	125,999	0.768078045	0.027379390	0.140337221	0.041326274	0.001926473	0.007952325	0.012059527	0.000940745	392,716	13,999	71,754	21,130	985	4,066	6,166	481
Arizona	6	719,894	0,1,	R+7	32935	111550	0.0	0.0	0.0	1.0	0.0	719,894	0.3365287326937362	1.6022057941926135E11	2445980.587731255	0.0	0.42618747730828016	0.5738125226917198	95,082	128,017	0.790051120	0.023301952	0.123345901	0.034648665	0.001138764	0.014277250	0.012037088	0.001199261	444,019	13,096	69,322	19,473	640	8,024	6,765	674
Arizona	7	708,531	0,1,	R+7	32410	109825	0.0	0.0	0.0	1.0	0.0	708,531	0.3859501093684906	4.261123186397406E10	1177880.9355693264	0.0	0.4262235374459367	0.5737764625540633	93,620	126,030	0.266892870	0.089981218	0.581459517	0.026252797	0.001576097	0.020495604	0.012027778	0.001314119	126,326	42,590	275,217	12,426	746	9,701	5,693	622
Arizona	8	698,742	0,1,	R+7	31962	108295	0.0	0.0	0.0	1.0	0.0	698,742	0.20780655852019858	1.3308610214660434E11	2836884.534710127	0.0	0.4262154300752574	0.5737845699247426	92,314	124,276	0.760731036	0.035568698	0.151426006	0.031069808	0.001318412	0.006779590	0.012104382	0.001002069	401,596	18,777	79,939	16,402	696	3,579	6,390	529
