State	District	Population	Winner	PVI	Vote gap	Wasted votes	FV Safe D	FV Lean D	FV Tossup	FV Lean R	FV Safe R	Pop per seats	Compactness	Area	Paired edge length	Unpaired edge length	PRES04_DEM vote %	PRES04_REP vote %	PRES04_DEM votes	PRES04_REP votes	VAP_WHITE %	VAP_BLACK %	VAP_HISPAN %	VAP_ASIAN %	VAP_HAWAII %	VAP_INDIAN %	VAP_MULTI %	VAP_OTHER %	VAP_WHITE pop	VAP_BLACK pop	VAP_HISPAN pop	VAP_ASIAN pop	VAP_HAWAII pop	VAP_INDIAN pop	VAP_MULTI pop	VAP_OTHER pop
Colorado	2	2,155,397	1,2,	R+3	55718	164995	1.0	0.0	1.0	0.0	1.0	718,466	0.8050963264496164	1.3021622140517814E13	6587745.047089901	1.0225034420810454E7	0.47185952592119695	0.528140474078803	467,123	522,839	0.811051867	0.013202827	0.135917083	0.017708097	0.000852236	0.007446226	0.012674857	0.001146807	1,365,654	22,231	228,858	29,817	1,435	12,538	21,342	1,931
Connecticut	1	3,574,097	3,2,	D+5	162572	154911	2.0	1.0	0.0	0.0	2.0	714,819	1.147687818937127	1.1609910602138718E12	0.0	4753858.167514866	0.5524726922260073	0.4475273077739928	855,836	693,265	0.742287680	0.089230571	0.115682812	0.036446504	0.000264410	0.001829470	0.011171231	0.003087322	2,046,548	246,016	318,947	100,486	729	5,044	30,800	8,512
Delaware	1	897,934	1,0,	D+4	28494	185686	0.0	0.0	1.0	0.0	0.0	897,934	0.8135230378925188	5.1979433470856586E11	0.0	3778109.2446150845	0.5383631506952598	0.46163684930474025	199,933	171,439	0.690056908	0.195015957	0.066654242	0.031303049	0.000255718	0.003247762	0.012268680	0.001197684	477,636	134,984	46,136	21,667	177	2,248	8,492	829
Florida	1	3,481,982	3,2,	D+9	191572	109678	3.0	0.0	0.0	1.0	1.0	696,396	0.2769021670391879	9.348595774241202E11	4569189.928479588	2592423.9887221386	0.5873337740192838	0.4126662259807162	644,173	452,602	0.570036013	0.205563438	0.187011635	0.020423515	0.000438654	0.001882950	0.011726564	0.002917231	1,572,409	567,034	515,860	56,337	1,210	5,194	32,347	8,047
Florida	2	3,480,453	3,2,	D+4	68636	90234	2.0	0.0	1.0	0.0	2.0	696,091	0.35328223327785646	2.3080288359440566E12	3970767.579947039	6786657.162645422	0.5380315343720666	0.4619684656279334	485,475	416,842	0.330213868	0.110280792	0.527531283	0.020574477	0.000225984	0.001050443	0.008011278	0.002111874	901,575	301,097	1,440,306	56,174	617	2,868	21,873	5,766
Florida	3	3,479,911	2,3,	R+6	104476	81243	2.0	0.0	0.0	1.0	2.0	695,982	0.2792477184742831	2.770003630673511E12	9925268.05572306	1652686.52094275	0.435701660233181	0.564298339766819	353,971	458,445	0.679476290	0.138982012	0.129990108	0.032759449	0.000621139	0.002886688	0.012749445	0.002534869	1,836,691	375,682	351,376	88,552	1,679	7,803	34,463	6,852
Florida	4	2,088,371	1,2,	R+6	58182	78274	1.0	0.0	0.0	1.0	1.0	696,124	0.5864356966699823	2.271138087080817E12	5801759.779601709	1565868.4698002331	0.4380588163898891	0.5619411836101109	205,726	263,905	0.760294483	0.078224033	0.136640717	0.012823189	0.000365314	0.002523607	0.007768776	0.001359881	1,267,455	130,404	227,788	21,377	609	4,207	12,951	2,267
Florida	5	2,090,827	1,2,	R+8	100028	99062	1.0	0.0	0.0	0.0	2.0	696,942	0.3089143691731431	4.256433332018403E12	2993948.6913154023	1.3552832435543148E7	0.4158545941544239	0.5841454058455761	247,169	347,195	0.696529570	0.211330947	0.048549060	0.021793363	0.000894403	0.005371343	0.014554369	0.000976944	1,130,767	343,081	78,816	35,380	1,452	8,720	23,628	1,586
Florida	6	2,090,530	1,2,	R+5	36834	65053	1.0	0.0	0.0	1.0	1.0	696,843	0.41949065953410014	7.959050137221769E11	3769686.9962599333	1484232.6531560784	0.45281607325402945	0.5471839267459705	176,740	213,573	0.649296279	0.120740794	0.183365041	0.028962722	0.000637416	0.002573474	0.012109064	0.002315211	1,063,459	197,757	300,327	47,437	1,044	4,215	19,833	3,792
Florida	7	2,089,236	1,2,	R+4	26264	50945	1.0	0.0	0.0	1.0	1.0	696,412	0.41759476708987453	5.811284522338766E11	3094611.114061341	1449587.9977832295	0.45704171669551164	0.5429582833044884	139,698	165,959	0.765955255	0.070782672	0.121919175	0.026243333	0.000550905	0.002424578	0.010699471	0.001424611	1,286,081	118,848	204,709	44,064	925	4,071	17,965	2,392
Georgia	1	3,459,636	2,3,	R+10	222408	116111	1.0	1.0	0.0	0.0	3.0	691,927	0.34586215876044774	3.406321585194413E12	8935235.008679321	2919557.2666902402	0.3957748213527496	0.6042251786472503	459,529	701,558	0.578568163	0.261122453	0.094692620	0.050526421	0.000515196	0.002110148	0.011079259	0.001385740	1,476,753	666,496	241,696	128,965	1,315	5,386	28,279	3,537
Georgia	2	2,075,934	2,1,	D+8	112010	116753	1.0	1.0	0.0	0.0	1.0	691,978	0.4513152218580019	8.884560185526667E11	4189437.104436321	1045734.5844457295	0.5799476099726629	0.420052390027337	406,262	294,253	0.431358618	0.471003714	0.057639936	0.024040486	0.000380664	0.002259866	0.011965490	0.001351226	661,774	722,596	88,429	36,882	584	3,467	18,357	2,073
Georgia	3	2,075,618	1,2,	R+9	117180	110528	1.0	0.0	0.0	0.0	2.0	691,873	0.5306318060594234	6.589469777830692E12	4016690.6420335677	1.1300472025165068E7	0.41165178840702094	0.5883482115929791	272,991	390,169	0.591197918	0.336845407	0.047053110	0.011784608	0.000744156	0.002578885	0.008991457	0.000804458	921,567	525,079	73,347	18,370	1,160	4,020	14,016	1,254
Georgia	4	2,076,465	1,2,	R+20	203482	126092	0.0	1.0	0.0	0.0	2.0	692,155	0.4959162917700218	1.575716600507167E12	3396681.6104913265	3896258.5323581216	0.3011465173576965	0.6988534826423035	227,833	528,719	0.762507747	0.102389310	0.087399295	0.032209346	0.000412717	0.002225448	0.010764823	0.002091315	1,182,420	158,775	135,530	49,947	640	3,451	16,693	3,243
Hawaii	1	185,079	1,1,	D+11	15442	14287	1.0	0.0	0.0	1.0	0.0	92,540	0.5173926822463366	4.925152472611093E12	0.0	1.4582882199808676E7	0.6148946594806467	0.38510534051935325	35,140	22,008	0.255120054	0.014824659	0.071533569	0.411339321	0.085845205	0.002198805	0.157848257	0.001290130	269,530	15,662	75,574	434,573	90,694	2,323	166,764	1,363
Idaho	1	1,567,582	0,2,	R+19	228172	294700	0.0	0.0	1.0	0.0	1.0	783,791	0.551642918019351	1.7149255072304904E13	0.0	2.635343769005981E7	0.30643705463182896	0.693562945368171	180,614	408,786	0.866508858	0.004969653	0.090281157	0.012484739	0.001330687	0.011053043	0.012558519	0.000813344	986,529	5,658	102,786	14,214	1,515	12,584	14,298	926
Illinois	1	3,563,166	2,3,	R+3	87750	140148	2.0	0.0	1.0	0.0	2.0	712,633	0.2932876393906424	2.695822010925017E12	8119453.512544775	3503936.786146959	0.46869452166616243	0.5313054783338376	656,851	744,597	0.760609814	0.052468776	0.126482506	0.049565046	0.000223946	0.001389070	0.008565551	0.000695291	2,010,669	138,701	334,356	131,025	592	3,672	22,643	1,838
