,State,STATEFP,year,demVotes,repVotes,demVoteFrac,repVoteFrac,demSeats,demSeatFrac,specAsym (seats),specAsym (fraction),mean-median,Grofman Asym,efficiency gap,Cs,margin,ndist
0,AL,01,1972,568050.683855,403354.4828115,0.5847721459052332,0.4152278540947668,4.0,0.5714285714285714,-0.5,-0.07142857142857142,-0.11492494367684691,-0.5,0.098115720381894977,-0.45586376451332677,-0.08477214590523319,7
1,AL,01,1974,392557.227541,247231.1057924,0.6135735947164178,0.3864264052835822,4.0,0.5714285714285714,-0.5,-0.07142857142857142,-0.13858523208502993,-0.5,0.15571861800426423,-0.62646789609749087,-0.11357359471641781,7
2,AL,01,1976,726046.40332,413270.0966799,0.6372648893613528,0.36273511063864716,4.0,0.5714285714285714,0.0,0.0,-0.11970705928174774,-0.5,0.20310120729413428,-0.56528703007516201,-0.13726488936135284,7
3,AL,01,1978,440398.3664598,269191.6335402,0.620637785847884,0.379362214152116,4.0,0.5714285714285714,-0.5,-0.07142857142857142,-0.11277694305363095,-0.5,0.16984700026719657,-0.47635896268103695,-0.12063778584788398,7
4,AL,01,1980,712829.0651583001,478624.60150809994,0.598285174741829,0.40171482525817104,4.0,0.5714285714285714,-0.5,-0.07142857142857142,-0.13959651897312064,-0.5,0.12514177805508653,-0.69325296303213413,-0.09828517474182896,7
5,AL,01,1982,667358.036168,392380.7138321,0.6297382597059294,0.37026174029407055,5.0,0.7142857142857143,-0.5,-0.07142857142857142,-0.028072652451632485,-0.5,0.045190805126144595,-0.16922445922843085,-0.12973825970592945,7
6,AL,01,1984,905768.6522010001,524835.3477996,0.6331372288911677,0.36686277110883225,5.0,0.7142857142857143,0.0,0.0,-0.030463519337794787,-0.5,0.051988743496621193,-0.20651113823379308,-0.13313722889116775,7
7,AL,01,1986,750848.3677886999,437522.96554460004,0.6318297544948529,0.3681702455051471,5.0,0.7142857142857143,-0.5,-0.07142857142857142,-0.092590725062980495,-0.5,0.049373794703991503,-0.48576925924209763,-0.1318297544948529,7
8,AL,01,1988,859803.3803577,513299.119642,0.6261756717782452,0.3738243282217548,5.0,0.7142857142857143,0.0,0.0,-0.043474337926277196,-1.5,0.038065629270776058,-0.28602762963337802,-0.12617567177824518,7
9,AL,01,1990,727296.7201461,424646.02985449997,0.6313653349055074,0.3686346650944926,5.0,0.7142857142857143,0.5,0.07142857142857142,-0.038001603753157642,-1.5,0.048444955525300482,-0.29098815482773255,-0.1313653349055074,7
