,State,year,contestedFrac
204,FL,2012,0.7777777777777778
205,FL,2014,0.7407407407407407
206,FL,2016,0.9629629629629629
207,GA,1972,0.4
208,GA,1974,0.8
209,GA,1976,0.7
210,GA,1978,0.5
211,GA,1980,0.8
212,GA,1982,0.7
213,GA,1984,0.6
214,GA,1986,0.6
215,GA,1988,0.8
216,GA,1990,1.0
217,GA,1992,1.0
218,GA,1994,1.0
219,GA,1996,0.9090909090909091
220,GA,1998,0.7272727272727273
221,GA,2000,0.9090909090909091
222,GA,2002,0.7692307692307693
223,GA,2004,0.5384615384615384
224,GA,2006,0.9230769230769231
225,GA,2008,0.8461538461538461
226,GA,2010,0.7692307692307693
227,GA,2012,0.7857142857142857
228,GA,2014,0.5
229,GA,2016,0.6428571428571429
230,HI,1972,1.0
231,HI,1974,1.0
232,HI,1976,1.0
233,HI,1978,1.0
234,HI,1980,0.5
235,HI,1982,0.0
236,HI,1984,1.0
237,HI,1986,1.0
238,HI,1988,0.5
239,HI,1990,1.0
240,HI,1992,1.0
241,HI,1994,1.0
242,HI,1996,1.0
243,HI,1998,1.0
244,HI,2000,1.0
245,HI,2002,1.0
246,HI,2004,1.0
247,HI,2006,1.0
248,HI,2008,1.0
249,HI,2010,1.0
250,HI,2012,1.0
251,HI,2014,1.0
252,HI,2016,1.0
253,ID,1972,1.0
254,ID,1974,1.0
255,ID,1976,1.0
256,ID,1978,1.0
257,ID,1980,1.0
258,ID,1982,1.0
259,ID,1984,1.0
260,ID,1986,1.0
261,ID,1988,1.0
262,ID,1990,1.0
263,ID,1992,1.0
264,ID,1994,1.0
265,ID,1996,1.0
266,ID,1998,1.0
267,ID,2000,1.0
268,ID,2002,1.0
269,ID,2004,1.0
270,ID,2006,1.0
271,ID,2008,1.0
272,ID,2010,1.0
273,ID,2012,1.0
274,ID,2014,1.0
275,ID,2016,1.0
276,IL,1972,0.9166666666666666
277,IL,1974,0.9583333333333334
278,IL,1976,1.0
279,IL,1978,0.9583333333333334
280,IL,1980,1.0
281,IL,1982,1.0
282,IL,1984,0.9545454545454546
283,IL,1986,0.9545454545454546
284,IL,1988,0.9545454545454546
285,IL,1990,0.7727272727272727
286,IL,1992,1.0
287,IL,1994,0.95
288,IL,1996,0.9
289,IL,1998,0.8
290,IL,2000,0.85
291,IL,2002,0.8947368421052632
292,IL,2004,0.9473684210526315
293,IL,2006,0.9473684210526315
294,IL,2008,0.9473684210526315
295,IL,2010,1.0
296,IL,2012,1.0
297,IL,2014,1.0
298,IL,2016,0.7777777777777778
299,IN,1972,1.0
300,IN,1974,1.0
301,IN,1976,0.9090909090909091
302,IN,1978,1.0
303,IN,1980,1.0
304,IN,1982,1.0
305,IN,1984,1.0
306,IN,1986,1.0
307,IN,1988,1.0
308,IN,1990,1.0
309,IN,1992,1.0
310,IN,1994,1.0
311,IN,1996,1.0
312,IN,1998,1.0
313,IN,2000,1.0
314,IN,2002,1.0
315,IN,2004,1.0
316,IN,2006,1.0
317,IN,2008,1.0
318,IN,2010,1.0
319,IN,2012,1.0
320,IN,2014,1.0
321,IN,2016,0.8888888888888888
322,IA,1972,1.0
323,IA,1974,1.0
324,IA,1976,1.0
