,State,cycle,AreaNumber,avgDemVote,avgRepVote
120,CA,1970,29,80170.0,20559.0
121,CA,1970,30,73729.600000000006,27050.0
122,CA,1970,31,68527.5,39861.75
123,CA,1970,32,80644.0,61852.5
124,CA,1970,33,59223.0,102141.8
125,CA,1970,34,83595.600000000006,90424.399999999994
126,CA,1970,35,84741.800000000003,68546.399999999994
127,CA,1970,36,80460.199999999997,58809.199999999997
128,CA,1970,37,67639.399999999994,107653.2
129,CA,1970,38,83385.0,58262.400000000001
130,CA,1970,39,69625.399999999994,129669.2
131,CA,1970,40,74245.800000000003,156422.20000000001
132,CA,1970,41,93006.800000000003,99072.399999999994
133,CA,1970,42,79416.800000000003,66301.399999999994
134,CA,1970,43,72450.0,174714.79999999999
135,CA,1980,1,131848.60000000001,84727.199999999997
136,CA,1980,2,76426.0,131386.79999999999
137,CA,1980,3,158107.33333333334,66903.0
138,CA,1980,4,123009.75,70538.5
139,CA,1980,5,123962.2,44694.199999999997
140,CA,1980,6,143157.39999999999,66464.199999999997
141,CA,1980,7,140103.60000000001,71166.600000000006
142,CA,1980,8,134101.79999999999,83905.199999999997
143,CA,1980,9,120399.8,58493.800000000003
144,CA,1980,10,86461.75,44583.75
145,CA,1980,11,124062.39999999999,54345.0
146,CA,1980,12,82551.0,128790.60000000001
147,CA,1980,13,119923.60000000001,58791.599999999999
148,CA,1980,14,82804.399999999994,152456.79999999999
149,CA,1980,15,101013.8,46812.400000000001
150,CA,1980,16,147169.20000000001,40831.800000000003
151,CA,1980,17,62055.0,99255.199999999997
152,CA,1980,18,112035.75,54236.0
153,CA,1980,19,74192.600000000006,119775.2
154,CA,1980,20,59248.199999999997,136154.79999999999
155,CA,1980,21,61530.800000000003,148763.39999999999
156,CA,1980,22,53435.5,140065.0
157,CA,1980,23,126743.2,71834.399999999994
158,CA,1980,24,92364.0,39146.25
159,CA,1980,25,61691.0,19849.0
160,CA,1980,26,103503.0,57223.199999999997
161,CA,1980,27,115070.8,67846.399999999994
162,CA,1980,28,97692.600000000006,26746.400000000001
163,CA,1980,29,84691.199999999997,16275.6
164,CA,1980,30,60472.199999999997,42505.800000000003
165,CA,1980,31,84363.0,33733.199999999997
166,CA,1980,32,92259.399999999994,50488.800000000003
167,CA,1980,33,52308.0,126261.2
168,CA,1980,34,73902.600000000006,48026.0
169,CA,1980,35,56989.25,135706.5
170,CA,1980,36,87000.800000000003,69921.399999999994
171,CA,1980,37,83570.600000000006,133437.79999999999
172,CA,1980,38,58772.400000000001,72421.399999999994
173,CA,1980,39,49955.800000000003,144027.79999999999
174,CA,1980,40,72765.399999999994,150376.39999999999
175,CA,1980,41,77149.199999999997,145573.39999999999
176,CA,1980,42,62453.599999999999,144725.0
177,CA,1980,43,56642.0,157050.75
178,CA,1980,44,77583.399999999994,44134.199999999997
179,CA,1980,45,45571.25,138033.25
180,CA,1990,1,117453.2,92397.399999999994
181,CA,1990,2,70210.399999999994,149313.60000000001
182,CA,1990,3,103488.60000000001,101413.0
183,CA,1990,4,98662.0,160589.60000000001
184,CA,1990,5,140730.0,53559.0
185,CA,1990,6,165096.79999999999,84570.600000000006
186,CA,1990,7,138409.60000000001,45101.199999999997
187,CA,1990,8,166927.60000000001,25607.799999999999
188,CA,1990,9,154275.60000000001,34949.0
189,CA,1990,10,130089.39999999999,131282.60000000001
190,CA,1990,11,69550.600000000006,103472.60000000001
191,CA,1990,12,142240.79999999999,48101.599999999999
192,CA,1990,13,113246.0,49288.400000000001
193,CA,1990,14,141656.39999999999,72861.399999999994
194,CA,1990,15,113238.0,101524.0
195,CA,1990,16,93247.399999999994,39631.199999999997
196,CA,1990,17,120168.2,60442.0
197,CA,1990,18,106978.33333333333,51068.666666666664
198,CA,1990,19,75890.25,121736.0
199,CA,1990,20,64457.599999999999,45049.199999999997
200,CA,1990,21,53896.75,128271.75
201,CA,1990,22,110795.39999999999,108446.2
202,CA,1990,23,71918.199999999997,112853.60000000001
203,CA,1990,24,120433.2,84988.0
204,CA,1990,25,66172.0,121242.0
205,CA,1990,26,65492.333333333336,31402.666666666668
206,CA,1990,27,84733.800000000003,92878.399999999994
207,CA,1990,28,67821.800000000003,110617.0
208,CA,1990,29,149371.79999999999,51973.0
209,CA,1990,30,58495.800000000003,15816.4
210,CA,1990,31,62330.75,31072.5
211,CA,1990,32,118107.25,18876.0
212,CA,1990,33,45827.0,9549.75
213,CA,1990,34,88271.600000000006,38718.599999999999
214,CA,1990,35,90490.0,15376.25
215,CA,1990,36,107543.39999999999,100278.2
216,CA,1990,37,83514.0,13487.333333333334
217,CA,1990,38,70536.199999999997,84810.199999999997
218,CA,1990,39,62113.800000000003,116706.8
219,CA,1990,40,50970.75,110379.5
220,CA,1990,41,54958.199999999997,88158.399999999994
221,CA,1990,42,68725.199999999997,55049.400000000001
222,CA,1990,43,67901.25,88436.5
223,CA,1990,44,71581.199999999997,107449.60000000001
224,CA,1990,45,68751.399999999994,120900.60000000001
225,CA,1990,46,48949.599999999999,45514.199999999997
226,CA,1990,47,68415.800000000003,158645.79999999999
227,CA,1990,48,61142.25,147736.5
228,CA,1990,49,99866.800000000003,100258.0
229,CA,1990,50,76224.5,38340.75
230,CA,1990,51,72377.199999999997,145597.79999999999
231,CA,1990,52,64435.25,117571.75
232,CA,2000,1,159512.60000000001,68766.600000000006
233,CA,2000,2,85593.800000000003,145814.60000000001
234,CA,2000,3,100915.60000000001,144354.39999999999
