,State,raceYear,AreaNumber,RepVotes,RepStatus,DemVotes,DemStatus,Dem Vote %,Winner,imputedRep,imputedDem,centeredRep,centeredDem
1670,Connecticut,1994,3,64094.0,Challenger,111261.0,Incumbent,0.634490035,D,64094.0,111261.0,63481.6638354,112344.662519
1671,Connecticut,1994,4,109436.0,Incumbent,34962.0,Challenger,0.242122467,R,109436.0,34962.0,108390.479038,35302.5237145
1672,Connecticut,1994,5,93471.0,Incumbent,81523.0,Challenger,0.465861687,R,93471.0,81523.0,92578.0041869,82317.0196436
1673,Connecticut,1994,6,123101.0,Incumbent,60701.0,Challenger,0.330252119,R,123101.0,60701.0,121924.927447,61292.2170355
1674,Connecticut,1996,1,53666.0,Challenger,158222.0,Incumbent,0.746724685,D,53666.0,158222.0,62318.9268997,138931.487964
1675,Connecticut,1996,2,100332.0,Challenger,115175.0,Incumbent,0.534437396,D,100332.0,115175.0,116509.19714,101132.801546
1676,Connecticut,1996,3,59335.0,Challenger,150798.0,Incumbent,0.717631215,D,59335.0,150798.0,68901.9775574,132412.62607
1677,Connecticut,1996,4,121949.0,Incumbent,75902.0,Challenger,0.383632127,R,121949.0,75902.0,141611.650141,66647.9870021
1678,Connecticut,1996,5,98782.0,Incumbent,111974.0,Challenger,0.531296855,D,98782.0,111974.0,114709.280308,98322.0692021
1679,Connecticut,1996,6,113020.0,Incumbent,111433.0,Challenger,0.496464739,R,113020.0,111433.0,131242.967954,97847.0282155
1680,Connecticut,1998,1,69668.0,Challenger,97681.0,Challenger,0.583696347,D,69668.0,97681.0,73882.9939014,92409.0995213
1681,Connecticut,1998,2,57860.0,Challenger,99567.0,Incumbent,0.632464571,D,57860.0,99567.0,61360.5963589,94193.3110026
1682,Connecticut,1998,3,42090.0,Challenger,109726.0,Incumbent,0.722756495,D,42090.0,109726.0,44636.4932725,103804.023854
1683,Connecticut,1998,4,94767.0,Incumbent,40988.0,Challenger,0.301926264,R,94767.0,40988.0,100500.512187,38775.8537605
1684,Connecticut,1998,5,76051.0,Challenger,78394.0,Incumbent,0.507585225,D,76051.0,78394.0,80652.1727219,74163.0301479
1685,Connecticut,1998,6,101630.0,Incumbent,69201.0,Challenger,0.405084557,R,101630.0,69201.0,107778.731558,65466.1817137
1686,Connecticut,2000,1,59331.0,Challenger,151932.0,Incumbent,0.719160478,D,59331.0,151932.0,64538.0101685,140589.090283
1687,Connecticut,2000,2,114380.0,Challenger,111520.0,Incumbent,0.493669765,R,114380.0,111520.0,124418.22324,103194.161522
1688,Connecticut,2000,3,60037.0,Challenger,156910.0,Incumbent,0.723264207,D,60037.0,156910.0,65305.9701755,145195.443727
1689,Connecticut,2000,4,119155.0,Incumbent,84472.0,Challenger,0.414836932,R,119155.0,84472.0,129612.287027,78165.5058471
1690,Connecticut,2000,5,98229.0,Challenger,118932.0,Incumbent,0.547667399,D,98229.0,118932.0,106849.778376,110052.797867
1691,Connecticut,2000,6,143698.0,Incumbent,75471.0,Challenger,0.344350707,R,143698.0,75471.0,156309.231012,69836.5007551
1692,Connecticut,2002,1,66968.0,Challenger,134698.0,Challenger,0.667926175,D,66968.0,134698.0,70061.7249422,129001.656625
1693,Connecticut,2002,2,117434.0,Incumbent,99674.0,Challenger,0.459098697,R,117434.0,99674.0,122859.105944,95458.812473
1694,Connecticut,2002,3,54757.0,Challenger,121557.0,Challenger,0.689434758,D,54757.0,121557.0,57286.6126009,116416.386096
1695,Connecticut,2002,4,113197.0,Incumbent,62491.0,Challenger,0.355693047,R,113197.0,62491.0,118426.368986,59848.2718688
1696,Connecticut,2002,5,113626.0,Incumbent,90616.0,Incumbent,0.443669764,R,113626.0,90616.0,118875.187527,86783.8729363
1697,Connecticut,2004,1,73601.0,Challenger,198802.0,Incumbent,0.729808409,D,73601.0,198802.0,82703.5350378,179090.861411
1698,Connecticut,2004,2,166412.0,Incumbent,140536.0,Challenger,0.457849538,R,166412.0,140536.0,186992.848911,126601.911949
1699,Connecticut,2004,3,69160.0,Challenger,200638.0,Incumbent,0.743660072,D,69160.0,200638.0,77713.2985043,180744.822747
1700,Connecticut,2004,4,152493.0,Incumbent,138333.0,Challenger,0.475655547,R,152493.0,138333.0,171352.429566,124617.338515
1701,Connecticut,2004,5,168268.0,Incumbent,107438.0,Challenger,0.389683213,R,168268.0,107438.0,189078.38798,96785.5653779
1702,Connecticut,2006,1,53010.0,Challenger,154539.0,Incumbent,0.744590434,D,53010.0,154539.0,67449.8737542,127288.657705
1703,Connecticut,2006,2,121165.0,Incumbent,121248.0,Challenger,0.500171195,D,121165.0,121248.0,154170.231153,99867.9632284
1704,Connecticut,2006,3,44386.0,Challenger,150436.0,Incumbent,0.772171521,D,44386.0,150436.0,56476.7043285,123909.15245
1705,Connecticut,2006,4,106510.0,Incumbent,99450.0,Challenger,0.48286075,R,106510.0,99450.0,135523.223044,81913.6723333
