,State,cycle,mean,std,alpha,beta,stdv of votePct
0,AL,1970,0.61469857067938283,0.029688928968755343,164.55712565181298,103.14664575917246,0.22066288942593965
1,AL,1980,0.62645473685080733,0.0068620890019777019,3112.5944304338541,1855.9918812937733,0.15685308818387486
2,AL,1990,0.48116379040499646,0.05653823448007151,37.096663619293594,40.001123785010591,0.17443480703130623
3,AL,2000,0.44047186112038095,0.015627704228538878,444.05557688967804,564.08050644645516,0.18295562874576887
4,AL,2010,0.39315368652659877,0.0013811347684705901,49173.127807130077,75900.423560429772,0.17441132575174603
5,AK,1970,0.40364383645470969,0.12653727636673204,5.6646331810650414,8.3691081261693974,0.0
6,AK,1980,0.39897919858861247,0.072577318577079455,17.764045474152418,26.759692948784586,0.0
7,AK,1990,0.35424066299415802,0.10293224491324793,7.2940543087670715,13.296620536732982,0.0
8,AK,2000,0.32428432187824829,0.11852296592472598,4.7340890076647515,9.8644860336601035,0.0
9,AK,2010,0.39066305418011421,0.071990197309019149,17.553180153415632,27.378583845241849,0.0
10,AZ,1970,0.48089467187563545,0.029316418355516068,139.19890255633047,150.25929005248429,0.1206124048004988
11,AZ,1980,0.39216085167640397,0.025760738875257694,140.47199955429127,217.72795577986167,0.18023557919286537
12,AZ,1990,0.40601333372973192,0.022010077078502031,201.71625423367948,295.10549391106133,0.14617421252434487
13,AZ,2000,0.45202374196342288,0.03986684662709402,69.994645459463456,84.852631268596824,0.14029381698329163
14,AZ,2010,0.45110279861149549,0.0004869321532221229,471090.92443772685,573218.54534999176,0.15340995684689687
15,AR,1970,0.51418647697133457,0.074479755944000803,22.640260407719484,21.390964491611459,0.22832758912917978
16,AR,1980,0.55934507660585686,0.033289418281284976,123.84795187348155,97.568052402446227,0.21340934956669874
17,AR,1990,0.51239442668238433,0.052136733237587739,46.584234654929951,44.33056111392785,0.10230225150504479
18,AR,2000,0.52966344665534049,0.06597753411512873,29.782475079282609,26.44657993168644,0.13788659063698078
19,AR,2010,0.39522062767874377,0.0085822066502257884,1282.1664052421504,1962.012454481647,0.031192149164667834
20,CA,1970,0.52490591240129858,0.036757157421058922,96.360579254937036,87.216280861029631,0.16971213238112498
21,CA,1980,0.51601836603996631,0.011195871782812512,1027.6029399019094,963.80474542516708,0.18623655684783064
22,CA,1990,0.53195578678109412,0.024172552789588107,226.13745760760017,198.96828092750539,0.18291145604619788
23,CA,2000,0.56745966966652217,0.027449221393789185,184.28981640164287,140.47302799564105,0.18612704221056592
24,CA,2010,0.61003520662291044,0.011236643732742664,1148.7655747653046,734.34799358880366,0.16728974349031023
25,CO,1970,0.47939302313223842,0.034606481333791329,99.423603415720535,107.97116166890812,0.12221594603809108
26,CO,1980,0.46633870286058593,0.040228199101105172,71.248239167571782,81.533931238884421,0.16914547404290836
27,CO,1990,0.42713619976500156,0.037976200152145229,72.043341359409467,96.622628415677966,0.15522888853894484
28,CO,2000,0.50667334881793291,0.052440841768732774,45.545633670893245,44.345878833466905,0.14903181819204914
29,CO,2010,0.49674185508552537,0.014071713018019988,626.63442295260938,634.85465137699407,0.13420728672168669
30,CT,1970,0.53750937577152635,0.044103004699454079,68.159631738483228,58.646773527748159,0.10273434377961241
31,CT,1980,0.50670767336015976,0.040985164703752935,74.892356001746521,72.909542290238136,0.15924922314800222
32,CT,1990,0.5226198870642822,0.035849001511242304,100.93438994451581,92.197162150632252,0.16316364963312702
33,CT,2000,0.58777211757630998,0.053353570741977573,49.441979128971873,34.675619597634714,0.12260725932653574
34,CT,2010,0.63161467893906753,0.025837453561211379,219.51262581914838,128.02936954401665,0.067615958108331528
35,DE,1970,0.40940525192219301,0.043680860907954061,51.47227360901794,74.252233752211964,0.0
36,DE,1980,0.6244774425911841,0.063831281190247099,35.317537281611315,21.237807832322673,0.0
37,DE,1990,0.32544753610395827,0.064283405876503219,16.963953642144428,35.16104888583785,0.0
38,DE,2000,0.38779500140057105,0.12121994988096801,5.8776667722795235,9.2789668899687801,0.0
