,year,demVotes,repVotes,demVoteFrac,repVoteFrac,demSeats,demSeatFrac,specAsym (seats),specAsym (fraction),mean-median,margin
0,2006,2078689.0,1933173.0,0.518135718526709,0.48186428147329097,47.0,0.47474747474747475,6.5,0.06565656565656566,0.038527606639732925,-0.018135718526709033
1,2008,1481468.0,1343297.0,0.5244570787304431,0.4755429212695569,51.0,0.5151515151515151,2.5,0.025252525252525252,0.024874390582747541,-0.024457078730443116
2,2010,906333.0,1112059.0,0.44903715432879243,0.5509628456712076,38.0,0.3838383838383838,0.0,0.0,0.034113624958954203,0.05096284567120757
3,2012,1443355.0,1395067.0,0.5085061347467008,0.4914938652532992,48.0,0.48484848484848486,3.5,0.03535353535353535,0.026413187557313145,-0.00850613474670081
4,2014,1091195.0,1203173.0,0.4755972014951394,0.5244027985048606,39.0,0.3939393939393939,3.5,0.03535353535353535,0.028602447331976255,0.0244027985048606
5,2016,1326958.0,1470384.0,0.4743638782815973,0.5256361217184027,39.0,0.3939393939393939,7.0,0.0707070707070707,0.055526973899143628,0.025636121718402682
