year,state,Popular vote,Seat pct,Number of Districts,Standard deviation of vote among districts,Nagle area,Specific Asymmetry,Grofman King Asymmetry,Mean minus median,Efficiency gap,Lopsided Margins
1972,Alabama,0.4152278540947667,0.42857142857142855,7.0,0.2531314740565392,0.06385714285714343,-0.14285714285714285,0.42857142857142855,-0.1141022961673458,0.09811572038189514,0.10463922576446336
1974,Alabama,0.3864264052835822,0.42857142857142855,7.0,0.23040582286151662,0.06900000000000044,-0.14285714285714285,0.42857142857142855,-0.13777589828336387,0.15571861800426418,0.16750075067614212
1976,Alabama,0.36273511063864716,0.42857142857142855,7.0,0.22504054601155277,0.05442857142857187,-5.551115123125783E-17,0.42857142857142855,-0.11505028663851485,0.20310120729413422,0.2094301599953739
1978,Alabama,0.379362214152116,0.42857142857142855,7.0,0.26299671775087935,0.11671428571428487,-0.14285714285714285,0.42857142857142855,-0.13071170715201738,0.1698470002671965,0.21779900105676248
1980,Alabama,0.401714825258171,0.42857142857142855,7.0,0.2050638680865497,0.07814285714285732,-0.14285714285714285,0.42857142857142855,-0.14047556700398733,0.12514177805508658,0.1456884190741597
1982,Alabama,0.3702617402940706,0.2857142857142857,7.0,0.17610365145384554,0.0424285714285714,-0.1428571428571429,0.42857142857142855,-0.0320310942948312,0.045190805126144484,0.15049257769610558
1984,Alabama,0.3668627711088322,0.2857142857142857,7.0,0.15337586507816578,0.05442857142857187,0.0,0.42857142857142855,-0.028632125109387396,0.051988743496621304,0.14779165017510462
1986,Alabama,0.36817024550514704,0.2857142857142857,7.0,0.1958785926068574,0.09242857142857122,-0.1428571428571429,0.42857142857142855,-0.09707194339375053,0.049373794703991614,0.1182062044404168
1988,Alabama,0.3738243282217548,0.2857142857142857,7.0,0.15631893423669607,0.05671428571428579,0.0,0.2857142857142857,-0.042647868961639634,0.03806562927077606,0.12425413267241076
1990,Alabama,0.36863466509449255,0.2857142857142857,7.0,0.13589508804732955,0.05185714285714305,0.1428571428571428,0.2857142857142857,-0.0400427887247658,0.04844495552530059,0.16036864140739598
1992,Alabama,0.4179688591591492,0.42857142857142855,7.0,0.15504953385879228,0.028142857142857084,-5.551115123125783E-17,0.42857142857142855,-0.03553590152214958,0.09263371025313011,0.14260825499608085
1994,Alabama,0.5529967603172445,0.42857142857142855,7.0,0.2040563922329938,0.05214285714285753,-0.14285714285714285,0.42857142857142855,-0.05573451781723254,-0.17742209206306053,-0.12992949821173155
1996,Alabama,0.5449048253281168,0.7142857142857143,7.0,0.15164857780865854,0.04757142857142886,0.1428571428571429,0.42857142857142855,-0.029098072582650625,0.12447606362948072,0.037788597287411255
