,year,demVotes,repVotes,demVoteFrac,repVoteFrac,demSeats,demSeatFrac,specAsym (seats),specAsym (fraction),mean-median,margin
0,2006,1071978.0,1028185.0,0.5104260954983018,0.48957390450169824,45.0,0.45454545454545453,7.0,0.0707070707070707,0.042718467473018495,-0.010426095498301757
1,2008,1481783.0,1343595.0,0.52445478091781,0.47554521908219005,43.0,0.43434343434343436,9.0,0.09090909090909091,0.044188700424418803,-0.02445478091780995
2,2010,906479.0,1112215.0,0.44904230160688047,0.5509576983931195,36.0,0.36363636363636365,6.5,0.06565656565656566,0.046446734279830149,0.05095769839311953
3,2012,1447123.0,1398614.0,0.5085230996399175,0.4914769003600825,39.0,0.3939393939393939,12.0,0.12121212121212122,0.058766916033730687,-0.008523099639917486
4,2014,1094864.0,1206858.0,0.47567169275872584,0.5243283072412741,36.0,0.36363636363636365,11.0,0.1111111111111111,0.062330215149658086,0.02432830724127416
5,2016,1330596.0,1473988.0,0.474436137409327,0.525563862590673,34.0,0.3434343434343434,12.0,0.12121212121212122,0.071089293248520924,0.025563862590673003
