,State,cycle,expectedCs,stdvCs,expectedCu,stdvCu,expStdv,stdvObs,stdvCsObs,ndist
0,AL,1970,-0.47714810782381184,0.13756950734344489,-0.10829854353861952,0.033129743841462424,0.22653138746894952,0.013004539734327657,0.099978855129865957,7
1,AZ,1970,0.0052248257723453099,0.2016359419916596,-0.00068044315511932567,0.025499741541426073,0.12482964830921033,0.021240140368037865,0.2134270656775539,4
2,AR,1970,0.016234395769605024,0.18402472532389763,0.0025662260362245433,0.042560987588257264,0.22954857547821717,0.035641488496984806,0.17355830873555625,4
3,CA,1970,-0.10836170037388879,0.10984767257499647,-0.01917089039459632,0.019525200226651281,0.17577339525052893,0.024307179100544293,0.15668638455773182,43
4,CO,1970,-0.037628910617195685,0.31034768568926779,-0.0046169530357548817,0.040656076938979532,0.12543515480222009,0.043206227044504372,0.3108364418589577,5
5,CT,1970,-0.1302870356829102,0.20158833385856184,-0.014540765731160834,0.022834200908529119,0.10974328240222117,0.018877204858416301,0.16468784708561757,6
6,FL,1970,-0.22827030930344158,0.12264257572497474,-0.040858634518364738,0.023098648002233952,0.17654491058022312,0.02030887910186983,0.10507595419821965,15
7,GA,1970,-0.12335243551888889,0.13980973351751308,-0.019424684502305577,0.022192547444264177,0.14561483421594426,0.012797227083201917,0.059056242742237405,10
8,IL,1970,0.28115438835178264,0.12213385437645125,0.063067153004840948,0.028053454778371924,0.22353909744039274,0.025131007185362753,0.086016839324714101,24
9,IN,1970,0.018298408410948763,0.2053079917502488,0.0023961376728675239,0.024615836774548826,0.11889129335963645,0.020186772453698931,0.18435794944248646,11
10,IA,1970,-0.032891040823298759,0.21362117710887588,-0.004501663202332128,0.023930914632336001,0.10871082926638806,0.01832910700803464,0.16569189698077516,6
11,KS,1970,0.17165087440169496,0.27910030495722021,0.027137850221378296,0.041808726112822894,0.13782531676050802,0.026916980248174269,0.18491931946440779,5
12,KY,1970,-0.29498404043247689,0.18251167900192816,-0.057626975774434867,0.036992983916794835,0.19319317478623815,0.043030321356151091,0.22897591244129542,7
13,LA,1970,0.018217865758096016,0.13844499537441515,0.002130212595310493,0.030700695743209241,0.23418544372237748,0.046037125413051772,0.20022566692462984,8
14,MD,1970,-0.12875546603882268,0.21272457535648934,-0.025990158010241442,0.042687167796564,0.194804233817606,0.025612811513564451,0.12323602565279297,8
15,MA,1970,-0.25775421568893164,0.14651632827257818,-0.045115264062550321,0.02637571955488803,0.17391947468728913,0.028913392951286448,0.15504709369675421,12
16,MI,1970,0.1275643429034323,0.14574807157217554,0.024532840168941979,0.028259186985089488,0.19248885869385304,0.016227744836956194,0.098964862603283063,19
17,MN,1970,-0.078550659777409729,0.20020032585373873,-0.014724458740925817,0.036244638756453493,0.17912796806886161,0.037644117811246561,0.20187264715960887,8
18,MS,1970,-0.19956794961843966,0.13137445185134647,-0.055418361202230086,0.037752091873240592,0.26616305711786281,0.037657065669683618,0.11180289557882975,5
19,MO,1970,-0.1902875972931965,0.15770480877445486,-0.026129406696708917,0.022631844001073705,0.13204174521494569,0.01465819004376997,0.098060036539985393,10
20,NE,1970,0.0040402229890443113,0.33813561982962831,2.5171124226176732e-05,0.046102177213922166,0.12545930528266391,0.053139483934367585,0.44081634492615068,3
21,NJ,1970,-0.042341375418575945,0.1775642334031953,-0.0075425005087376221,0.030779106427314039,0.17154696599331887,0.025445574814273727,0.1607324608923586,15
22,NY,1970,0.043009143346690829,0.11036463703863458,0.0094094610743185626,0.024300285680205057,0.22008432319636162,0.0273017083053173,0.13125432533731882,39
23,NC,1970,-0.071019188786526299,0.21024008953912579,-0.01086908930336199,0.031224050078373668,0.14709020855650229,0.037123168524638629,0.25800679756020639,11
24,OH,1970,0.25903890065145874,0.13706705975811004,0.052585443753535729,0.028390305695664118,0.2023230925803205,0.014671800482577411,0.06869587252831906,23
25,OK,1970,0.0031078770651294155,0.19185074237959795,-0.0039447500135605653,0.032682970844198189,0.17031373885803455,0.027110160529120176,0.1569577751252334,6
