Year,ABBcode,YrStatAbbCD,Any Congregation,No Congregation,Evangel. Prot Congregation,Roman Catholic,Mainline Prot,"Other, inc LDS"
2012,NY25,2012NY25,36.84112384,63.15887616,4.172545483,23.25141121,8.112512494,0.32289701
2012,NY26,2012NY26,39.78034614,60.21965386,4.009556189,24.18982541,5.866003704,0.311671917
2012,NY27,2012NY27,50.96394113,49.03605887,5.740373886,30.96172822,6.571777933,0.329210323
2012,NY3,2012NY3,47.19319127,52.80680873,6.544242146,28.09446806,3.624197311,0.695186039
2012,NY4,2012NY4,53.65943198,46.34056802,6.001685115,33.48941496,2.980369263,0.522867478
2012,NY5,2012NY5,49.67077161,50.32922839,7.069169606,29.79131684,3.490115829,0.799570463
2012,NY6,2012NY6,39.26328889,60.73671111,7.404859683,19.02947321,3.796214858,0.546968082
2012,NY7,2012NY7,68.34030615,31.65969385,3.21499826,52.58032699,4.46535085,0.572316026
2012,NY8,2012NY8,67.12881812,32.87118188,2.980369263,50.55116264,4.562571192,0.297047403
2012,NY9,2012NY9,53.08376292,46.91623708,3.627581181,34.54317502,5.245099213,0.41618637
2012,OH1,2012OH1,49.42426712,50.57573288,3.796214858,30.37222926,12.28736625,0.484401522
2012,OH10,2012OH10,42.48413473,57.51586527,4.085705254,27.55619674,16.55542634,0.50276517
2012,OH11,2012OH11,47.46680465,52.53319535,4.663126412,22.44822906,9.883237472,0.685912324
2012,OH12,2012OH12,50.09212234,49.90787766,4.245703585,28.67613145,12.56951416,0.49436047
2012,OH13,2012OH13,51.87294681,48.12705319,11.83532902,25.01378251,12.94883701,0.357818969
2012,OH14,2012OH14,52.71302267,47.28697733,8.317722842,28.62727146,9.721293489,0.381542297
2012,OH15,2012OH15,52.71302267,47.28697733,8.317722842,28.62727146,12.19786999,0.416892799
2012,OH16,2012OH16,37.92551063,62.07448937,11.25844185,12.57205369,11.53846154,0.793275813
2012,OH2,2012OH2,47.22860951,52.77139049,11.81413855,24.15313148,12.99461087,0.361098142
2012,OH3,2012OH3,47.04185471,52.95814529,9.916855928,26.87275775,12.39000046,0.812532036
2012,OH4,2012OH4,39.14887632,60.85112368,12.1905209,12.06686695,11.41442501,0.347329139
2012,OH5,2012OH5,48.99023879,51.00976121,18.41678399,15.24448224,12.63927152,0.679791872
2012,OH6,2012OH6,44.7397608,55.2602392,11.05374378,20.54412026,12.60762239,0.388043623
2012,OH7,2012OH7,36.94524214,63.05475786,17.04499843,5.489262348,16.96533877,0.406902875
2012,OH8,2012OH8,38.50831962,61.49168038,14.09640536,15.5127476,15.09680381,0.658191773
2012,OH9,2012OH9,43.24777609,56.75222391,17.16925895,12.27299222,9.024792231,0.379475085
2012,OK1,2012OK1,42.64628511,57.35371489,14.45340068,11.55425906,34.80769753,1.127173382
2012,OK2,2012OK2,53.36448628,46.63551372,15.04046702,21.49339868,45.80338424,0.95610831
2012,OK3,2012OK3,37.98524334,62.01475666,12.44750737,11.80590909,37.45827842,1.324269558
2012,OK4,2012OK4,33.84449214,66.15550786,12.82338823,8.768404433,41.242174,1.261545528
2012,OK5,2012OK5,41.02803528,58.97196472,15.80207788,13.84495786,46.17906305,0.998946601
2012,OR1,2012OR1,46.4610966,53.5389034,9.620564062,21.67755203,10.60114006,3.370266788
2012,OR2,2012OR2,59.0144047,40.9855953,34.59450626,6.943644057,11.90933287,4.999163935
2012,OR3,2012OR3,56.30728263,43.69271737,46.27467601,1.576673948,11.09431436,2.769574364
2012,OR4,2012OR4,56.07701618,43.92298382,37.93598946,3.991000894,11.69420297,3.869344251
2012,OR5,2012OR5,54.04556658,45.95443342,39.24119081,3.496239483,11.60587536,3.071985687
2012,PA1,2012PA1,71.4040542,28.5959458,46.25797743,7.7208733,6.661678621,0.326285321
