,State,cycle,alpha,beta
0,AL,1970,164.55712565181298,103.14664575917246
1,AL,1980,3112.5944304338541,1855.9918812937733
2,AL,1990,37.096663619293594,40.001123785010591
3,AL,2000,444.05557688967804,564.08050644645516
4,AL,2010,49173.127807130077,75900.423560429772
5,AK,1970,5.6646331810650414,8.3691081261693974
6,AK,1980,17.764045474152418,26.759692948784586
7,AK,1990,7.2940543087670715,13.296620536732982
8,AK,2000,4.7340890076647515,9.8644860336601035
9,AK,2010,17.553180153415632,27.378583845241849
10,AZ,1970,139.19890255633047,150.25929005248429
11,AZ,1980,140.47199955429127,217.72795577986167
12,AZ,1990,201.71625423367948,295.10549391106133
13,AZ,2000,69.994645459463456,84.852631268596824
14,AZ,2010,471090.92443772685,573218.54534999176
15,AR,1970,22.640260407719484,21.390964491611459
16,AR,1980,123.84795187348155,97.568052402446227
17,AR,1990,46.584234654929951,44.33056111392785
18,AR,2000,29.782475079282609,26.44657993168644
19,AR,2010,1282.1664052421504,1962.012454481647
20,CA,1970,96.360579254937036,87.216280861029631
21,CA,1980,1027.6029399019094,963.80474542516708
22,CA,1990,226.13745760760017,198.96828092750539
23,CA,2000,184.28981640164287,140.47302799564105
24,CA,2010,1148.7655747653046,734.34799358880366
25,CO,1970,99.423603415720535,107.97116166890812
26,CO,1980,71.248239167571782,81.533931238884421
27,CO,1990,72.043341359409467,96.622628415677966
28,CO,2000,45.545633670893245,44.345878833466905
29,CO,2010,626.63442295260938,634.85465137699407
30,CT,1970,68.159631738483228,58.646773527748159
31,CT,1980,74.892356001746521,72.909542290238136
32,CT,1990,100.93438994451581,92.197162150632252
33,CT,2000,49.441979128971873,34.675619597634714
34,CT,2010,219.51262581914838,128.02936954401665
35,DE,1970,51.47227360901794,74.252233752211964
36,DE,1980,35.317537281611315,21.237807832322673
37,DE,1990,16.963953642144428,35.16104888583785
38,DE,2000,5.8776667722795235,9.2789668899687801
39,DE,2010,84.460510405690229,52.438749897111364
40,FL,1970,678.25617542149098,524.36512379161491
41,FL,1980,148.26288939204903,142.09482930365772
42,FL,1990,480.18432730319057,566.53818754680844
43,FL,2000,121.91013543798542,149.2518808817552
44,FL,2010,1064.4779676388964,1231.6266050694642
45,GA,1970,78.996564966142842,36.056997991267878
46,GA,1980,333.00551812432343,188.71773665466026
47,GA,1990,44.609104492615579,51.865267562684416
48,GA,2000,502.32141829864287,627.05299877028756
49,GA,2010,24013.027315001254,28278.041342306333
50,HI,1970,10.678287461427066,4.6438568920985848
51,HI,1980,12.129503867670797,6.0937303715761955
52,HI,1990,37.601058476615144,18.489734226293081
53,HI,2000,32.481728714594631,15.481624382948398
54,HI,2010,30.267763586607458,12.490342983245981
55,ID,1970,66.12692275744179,89.744318417262875
56,ID,1980,26.490017352375876,28.890531509896057
57,ID,1990,15.833914002865743,23.866865984470262
58,ID,2000,37.237409069286407,64.098588910963002
59,ID,2010,123.52598262234754,238.07450570062329
60,IL,1970,81.597721239135353,81.008126519865016
61,IL,1980,203.61911008916496,170.9261011423759
62,IL,1990,184.01533611806479,161.99116833985443
63,IL,2000,111.91231877883975,92.086877569966575
64,IL,2010,278.17310828564496,237.4942416559802
65,IN,1970,98.433219571484159,92.74850609520243
66,IN,1980,151.07565792995433,146.26475564724893
67,IN,1990,53.39861159404856,61.121495753911013
68,IN,2000,42.593933129004128,50.580660554647309
69,IN,2010,65.004701587427334,92.38258895750765
