1	41,158	0,1,	R+1	777	15575	0.0	0.0	1.0	0.0	0.0	41,158	0.21551347963694117	1.8003287262872784E11	527896.5061941806	3616124.1444030693	0.4875276894924396	0.5124723105075605	15,186	15,963
2	39,153	0,1,	R+7	4423	15242	0.0	0.0	0.0	1.0	0.0	39,153	0.31741427253735843	1.0110435764942421E11	1814384.8371934155	248387.48805010255	0.4274513663353344	0.5725486336646656	13,030	17,453
3	38,125	0,1,	R+11	6933	16424	0.0	0.0	0.0	0.0	1.0	38,125	0.2778808757332102	5.756733497375016E10	1407246.8682116068	274977.8977063364	0.39446524796785093	0.605534752032149	12,957	19,890
4	41,331	0,1,	R+6	3076	13775	0.0	0.0	0.0	1.0	0.0	41,331	0.14478124257559213	5.855913633634383E9	712928.7252962658	0.0	0.4441742286751361	0.5558257713248639	12,237	15,313
5	37,987	0,1,	R+6	3846	15163	0.0	0.0	0.0	1.0	0.0	37,987	0.3103099586513991	7.231788815938042E10	1711314.9444420387	0.0	0.43658906548835985	0.5634109345116401	13,240	17,086
6	40,310	0,1,	R+12	6159	12865	0.0	0.0	0.0	0.0	1.0	40,310	0.25242579305762686	2.5532163014981723E11	3565183.366382783	0.0	0.3803101558552606	0.6196898441447394	9,785	15,944
7	43,859	0,1,	R+0	68	12870	0.0	0.0	1.0	0.0	0.0	43,859	0.20835292606485464	2.204232033167205E9	364614.3732970608	0.0	0.49867909867909865	0.5013209013209013	12,836	12,904
8	35,232	1,0,	D+36	8426	5869	1.0	0.0	0.0	0.0	0.0	35,232	0.40099896436757543	9.766197158486006E8	174942.7907497051	0.0	0.8589197478275686	0.14108025217243142	10,082	1,656
9	39,405	1,0,	D+20	7239	9140	1.0	0.0	0.0	0.0	0.0	39,405	0.23360880535884537	1.4736403357232227E9	281550.35411878576	0.0	0.6980141145576891	0.30198588544231086	12,759	5,520
10	36,653	1,0,	D+42	20834	12303	1.0	0.0	0.0	1.0	-1.0	36,653	0.2280351696796549	1.6717367911214762E9	303520.45576793334	0.0	0.92335202796066	0.07664797203934	22,720	1,886
11	34,803	1,0,	D+43	20320	11817	1.0	0.0	0.0	1.0	-1.0	34,803	0.25315918024103723	1.575806215899454E9	279678.76698092016	0.0	0.9298891427604299	0.07011085723957011	21,977	1,657
12	38,499	1,0,	D+27	13690	12796	1.0	0.0	0.0	0.0	0.0	38,499	0.22515358057501386	3.6431344882894263E9	450923.74471368367	0.0	0.7674663957486715	0.23253360425132855	19,641	5,951
13	41,866	1,0,	D+7	3939	14632	0.0	1.0	0.0	0.0	0.0	41,866	0.1314643615614106	1.9536685796494312E9	432141.88265556114	0.0	0.5673034207019103	0.43269657929808975	16,601	12,662
14	42,383	0,1,	R+11	6718	15286	0.0	0.0	0.0	0.0	1.0	42,383	0.20413273881046543	5.219033265895407E9	566817.9999415678	0.0	0.3901282219023943	0.6098717780976056	11,927	18,645
15	42,474	0,1,	R+1	387	12568	0.0	0.0	1.0	0.0	0.0	42,474	0.386023099416189	1.5879895092988224E9	227364.20870931263	0.0	0.49230157151382536	0.5076984284861746	12,374	12,761
16	38,203	1,0,	D+36	16452	11384	1.0	0.0	0.0	0.0	0.0	38,203	0.26830401204949733	1.106487457246768E9	227648.39682397424	0.0	0.8612965565706254	0.13870344342937457	19,610	3,158
17	36,653	1,0,	D+42	22004	13235	1.0	0.0	0.0	0.0	0.0	36,653	0.30193645090340854	1.2649887138050747E9	229451.27984567982	0.0	0.9156403475632792	0.08435965243672082	24,237	2,233
18	32,813	1,0,	D+39	16153	10297	1.0	0.0	0.0	0.0	0.0	32,813	0.26372062585745354	1.1469200544529278E9	233775.7486521782	0.0	0.8921963774097994	0.10780362259020056	18,373	2,220
19	48,273	1,0,	D+19	11808	15941	1.0	0.0	0.0	0.0	0.0	48,273	0.13970036350742085	1.4255043668414068E9	252987.76241297252	140134.38941490254	0.6851828618028982	0.31481713819710183	21,845	10,037
20	42,554	1,0,	D+8	4221	13772	0.0	1.0	0.0	0.0	0.0	42,554	0.3471893339710685	3.3598833088685613E9	299500.7096933982	65633.19952654286	0.5766256399085067	0.4233743600914933	15,882	11,661
21	41,141	0,1,	R+8	4894	15172	0.0	0.0	0.0	0.0	1.0	41,141	0.5532506698255713	6.97357431041701E9	309644.9563469449	117792.79813095438	0.41935802794621674	0.5806419720537833	12,725	17,619
22	41,440	1,0,	D+9	5687	15769	1.0	0.0	0.0	0.0	0.0	41,440	0.25815900749850207	3.658186515158415E9	343332.5035060629	104866.36680440069	0.5901639344262295	0.4098360655737705	18,612	12,925
23	39,903	0,1,	R+3	2088	15408	0.0	0.0	1.0	0.0	0.0	39,903	0.3395545963624026	1.044426091814896E10	534699.8730524064	116015.65694925487	0.4661214953271028	0.5338785046728972	14,364	16,452
24	40,291	0,1,	R+21	14511	17151	0.0	0.0	0.0	0.0	1.0	40,291	0.4203988942707069	1.5199811806025042E10	674051.7722270455	0.0	0.2884755546485525	0.7115244453514474	9,895	24,406
25	40,392	0,1,	R+7	3707	13166	0.0	0.0	0.0	1.0	0.0	40,392	0.5713607959235368	6.781490797182296E10	1031423.3717837791	253131.13413923865	0.4296076867570544	0.5703923132429456	11,312	15,019
26	40,155	1,0,	D+6	3117	12037	0.0	1.0	0.0	0.0	0.0	40,155	0.0630312767357283	4.554390116971308E9	893221.9426351016	79555.14209146863	0.564740580733602	0.43525941926639805	13,595	10,478
