,state_abbr,STATEFP,electoral_votes,dem_votes,rep_votes,ind_votes,votes_total,el_votes_per_pop_vote,min_counties_for_state_win,rep_margin,rep_margin_as_frac_of_min_county_votes,el_vote_per_county_frac,el_vote_per_county_frac_per_diff,el_vote_per_county_frac_per_frac,lost_votes,dem_lost,rep_lost,ind_lost,win_margin,allStateMajInNatMaj,dem_votesInTop5,rep_votesInTop5,ind_votesInTop5
19,ME,23,4,354873.0,334838.0,14075.0,741550.0,5.3941069381700496e-06,0.25,-20035.0,-0.046437726857624963,16.0,-0.00079860244571999003,-344.54744197654105,348913.0,0,334838.0,14075.0,0.027017733126559234,False,0.0,0.0,0.0
20,MD,24,10,1497951.0,873646.0,31591.0,2474543.0,4.0411502245061007e-06,0.16666666666666666,-624305.0,-0.4668234945754543,60.0,-9.6106870840374507e-05,-128.5282353977623,905237.0,0,873646.0,31591.0,0.25229102909102813,True,380519.0,1107461.0,20783.0
21,MA,25,11,1964768.0,1083069.0,46910.0,3231531.0,3.4039592997870048e-06,0.2857142857142857,-881699.0,-0.46843318829261044,38.5,-4.3665695435743947e-05,-82.188881920020322,1129979.0,0,1083069.0,46910.0,0.27284250096935475,True,975646.0,1758173.0,39041.0
22,MI,26,16,2268193.0,2279805.0,18312.0,4790917.0,3.3396529307437387e-06,0.07228915662650602,11612.0,0.0045589387707668846,221.33333333333334,0.019060741761396258,48549.310368584222,2286505.0,2268193.0,0,18312.0,0.0024237531144872685,True,1025092.0,1406392.0,7845.0
23,MN,27,10,1366676.0,1322891.0,23290.0,2916404.0,3.428880223727577e-06,0.05747126436781609,-43785.0,-0.029240859601800732,174.0,-0.0039739636861939025,-5950.5774580335737,1346181.0,0,1322891.0,23290.0,0.015013352059591195,False,455511.0,791962.0,10375.0
24,MS,28,6,462001.0,678457.0,3266.0,1162987.0,5.1591290358361704e-06,0.18292682926829268,216456.0,0.36556226968273214,32.800000000000004,0.00015153195106626751,89.724795801456182,465267.0,462001.0,0,3266.0,0.18612073909682567,False,0.0,0.0,0.0
25,MO,29,10,953402.0,1565472.0,12454.0,2775098.0,3.6034763457002239e-06,0.05263157894736842,612070.0,0.41714402158541575,190.0,0.00031042201055434839,455.47818060025821,965856.0,953402.0,0,12454.0,0.22055797669127361,False,434757.0,512814.0,4372.0
26,MT,30,3,174521.0,274120.0,7669.0,483574.0,6.2038074834461737e-06,0.08928571428571429,99599.0,0.39204487305648489,33.600000000000001,0.00033735278466651272,85.704474944527576,182190.0,174521.0,0,7669.0,0.20596434051458515,False,0.0,0.0,0.0
27,NE,31,5,273858.0,485819.0,8346.0,805638.0,6.2062613729739662e-06,0.03225806451612903,211961.0,0.49626213080786213,155.0,0.00073126660093130347,312.33493425677358,282204.0,273858.0,0,8346.0,0.26309707337538696,False,102151.0,105207.0,2600.0
28,NV,32,6,537753.0,511319.0,36364.0,1122990.0,5.3428792776427221e-06,0.058823529411764705,-26434.0,-0.034535242696502967,102.0,-0.0038586668684270258,-2953.5046530982827,547683.0,0,511319.0,36364.0,0.023538945137534618,True,414100.0,498100.0,30845.0
