,state_abbr,STATEFP,electoral_votes,dem_votes,rep_votes,ind_votes,votes_total
0,AL,01,9,813479,1266546,19794,2099819
1,AK,02,3,123594,193841,8762,326197
2,AZ,04,11,1034707,1230111,28657,2293475
3,AR,05,6,422310,638017,26290,1086617
4,CA,06,55,8274473,5011781,275646,13561900
5,CO,08,9,1288576,1073589,39196,2401361
6,CT,09,7,997772,629428,19592,1646792
7,DE,10,3,255459,152374,4579,412412
8,DC,11,3,245800,17367,2686,265853
9,FL,12,29,4282074,4045624,63046,8390744
10,GA,13,16,1844123,2048759,31590,3924472
11,HI,15,4,325201,120429,7112,452742
12,ID,16,4,236440,403012,15580,655032
13,IL,17,20,3419348,2031179,71844,5522371
14,IN,18,11,1374039,1345648,31357,2912882
15,IA,19,6,828940,682379,25501,1536820
16,KS,20,6,514765,699655,21388,1235808
17,KY,21,8,751985,1048462,26061,1826508
18,LA,22,8,782989,1148275,29497,1960761
19,ME,23,4,421823,295273,13967,731063
20,MD,24,10,1629467,959862,42264,2631593
21,MA,25,11,1904097,1108854,68034,3080985
22,MI,26,16,2872579,2048639,80548,5001766
23,MN,27,10,1573354,1275409,61607,2910370
24,MS,28,6,554662,724597,10606,1289865
25,MO,29,10,1441947,1445814,37480,2910906
26,MT,30,3,231667,242763,15679,490109
27,NE,31,5,333319,452979,14983,801281
28,NV,32,6,533736,412827,15018,961581
29,NH,33,4,384826,316534,6251,707611
30,NJ,34,14,2215422,1613207,39608,3868237
31,NM,35,5,472422,346832,10904,830158
32,NY,36,29,4804701,2752728,83211,7640640
33,NC,37,15,2142651,2128474,39664,4310789
34,ND,38,3,141278,168561,6742,316581
35,OH,39,18,2923149,2675009,90218,5688361
36,OK,40,7,502496,960165,0,1462661
37,OR,41,7,1037291,738475,52098,1827864
38,PA,42,20,3276363,2655885,62889,5995137
39,RI,44,4,373907,189315,9290,572512
40,SC,45,9,862449,1034896,23624,1920969
41,SD,46,3,170924,203054,7997,381975
42,TN,47,11,1087437,1479178,33108,2599723
43,TX,48,38,3528633,4479328,69834,8077795
44,UT,49,6,327670,596030,28670,952370
45,VT,50,3,219262,98974,6810,325046
46,VA,51,13,1958261,1723508,38694,3720463
47,WA,53,12,1750848,1229216,56814,3036878
48,WV,54,5,303857,397466,12039,713362
49,WI,55,10,1676761,1262393,43813,2983417
50,WY,56,3,82868,164958,6832,254658
